Release Date	Time	Actual	Forecast	Previous	
Dec 16, 2022 (Dec)	05:30	 	7.50%	7.50%	
Oct 28, 2022 (Oct)	05:30	7.50%	7.50%	7.50%	
Oct 28, 2022 (Sep)	05:30	7.50%	7.50%	8.00%	
Jul 22, 2022 (Jul)	05:30	8.00%	9.00%	9.50%	
Jun 10, 2022 (Jun)	05:30	9.50%	10.00%	11.00%	
May 26, 2022 (Apr)	02:30	11.00%	20.00%	14.00%	
Apr 29, 2022 (Apr)	05:30	14.00%	15.00%	17.00%	
Apr 08, 2022 (Mar)	03:40	17.00%	20.00%	20.00%	
Mar 18, 2022 (Mar)	05:30	20.00%	20.00%	20.00%	
Feb 28, 2022	02:00	20.00%	 	9.50%	
Feb 11, 2022 (Feb)	05:30	9.50%	9.50%	8.50%	
Dec 17, 2021 (Dec)	05:30	8.50%	8.50%	7.50%	
Oct 22, 2021 (Oct)	05:30	7.50%	7.25%	6.75%	
Sep 10, 2021 (Sep)	05:30	6.75%	7.00%	6.50%	
Jul 23, 2021 (Jul)	05:30	6.50%	6.50%	5.50%	
Jun 11, 2021 (Jun)	05:30	5.50%	5.50%	5.00%	
Apr 23, 2021 (Apr)	05:30	5.00%	4.75%	4.50%	
Mar 19, 2021 (Mar)	05:30	4.50%	4.25%	4.25%	
Feb 12, 2021 (Feb)	05:30	4.25%	4.25%	4.25%	
Dec 18, 2020 (Dec)	05:30	4.25%	4.25%	4.25%	
Oct 23, 2020 (Oct)	05:30	4.25%	4.25%	4.25%	
Sep 18, 2020 (Sep)	05:30	4.25%	4.25%	4.25%	
Jul 24, 2020 (Jul)	05:30	4.25%	4.25%	4.50%	
Jun 19, 2020 (Jun)	05:30	4.50%	4.50%	5.50%	
Apr 24, 2020 (Apr)	05:30	5.50%	5.50%	6.00%	
Mar 20, 2020 (Mar)	05:30	6.00%	6.00%	6.00%	
Feb 07, 2020 (Feb)	05:30	6.00%	6.00%	6.25%	
Dec 13, 2019 (Dec)	05:30	6.25%	6.25%	6.50%	
Oct 25, 2019 (Oct)	05:30	6.50%	6.75%	7.00%	
Sep 06, 2019 (Sep)	05:30	7.00%	7.00%	7.25%	
Jul 26, 2019 (Jul)	05:30	7.25%	7.25%	7.50%	
Jun 14, 2019 (Jun)	05:30	7.50%	7.50%	7.75%	
Apr 26, 2019 (Apr)	05:30	7.75%	7.75%	7.75%	
Mar 22, 2019 (Mar)	05:30	7.75%	7.75%	7.75%	
Feb 08, 2019 (Feb)	05:30	7.75%	7.75%	7.75%	
Dec 14, 2018 (Dec)	05:30	7.75%	7.50%	7.50%	
Oct 26, 2018 (Oct)	05:30	7.50%	7.50%	7.50%	
Sep 14, 2018 (Sep)	05:30	7.50%	7.25%	7.25%	
Jul 27, 2018 (Jul)	05:30	7.25%	7.25%	7.25%	
Jun 15, 2018 (Jun)	05:30	7.25%	7.25%	7.25%	
Apr 27, 2018 (Apr)	05:30	7.25%	7.25%	7.25%	
Mar 23, 2018 (Mar)	05:30	7.25%	7.25%	7.50%	
Feb 09, 2018 (Feb)	05:30	7.50%	7.50%	7.75%	
Dec 15, 2017 (Dec)	05:30	7.75%	8.00%	8.25%	
Oct 27, 2017 (Oct)	05:30	8.25%	8.25%	8.50%	
Sep 15, 2017 (Sep)	05:30	8.50%	8.50%	9.00%	
Jul 28, 2017 (Jul)	05:30	9.00%	9.00%	9.00%	
Jun 16, 2017 (Jun)	05:30	9.00%	8.75%	9.25%	
Apr 28, 2017 (Apr)	05:30	9.25%	9.50%	9.75%	
Mar 24, 2017 (Mar)	05:30	9.75%	10.00%	10.00%	
Feb 03, 2017 (Feb)	05:30	10.00%	9.50%	10.00%	
Dec 16, 2016 (Dec)	05:30	10.00%	10.00%	10.00%	
Oct 28, 2016 (Oct)	05:30	10.00%	 	10.00%	
Sep 16, 2016 (Sep)	05:30	10.00%	10.00%	10.50%	
Jul 29, 2016 (Jul)	05:30	10.50%	10.50%	10.50%	
Jun 10, 2016 (Jun)	05:30	10.50%	10.50%	11.00%	
Apr 29, 2016 (Apr)	05:30	11.00%	11.00%	11.00%	
Mar 18, 2016 (Mar)	05:30	11.00%	11.00%	11.00%	
Jan 29, 2016 (Jan)	05:30	11.00%	11.00%	11.00%	
Dec 11, 2015 (Dec)	05:30	11.00%	11.00%	11.00%	
Oct 30, 2015 (Oct)	05:30	11.00%	11.00%	11.00%	
Sep 11, 2015 (Sep)	06:00	11.00%	11.00%	11.00%	
Jul 31, 2015 (Aug)	06:00	11.00%	11.00%	11.50%	
Jun 15, 2015 (Jun)	05:30	11.50%	11.50%	12.50%	
Apr 30, 2015 (Apr)	05:30	12.50%	13.00%	14.00%	
Mar 13, 2015 (Mar)	05:30	14.00%	15.00%	15.00%	
Jan 30, 2015 (Jan)	04:30	15.00%	17.00%	17.00%	
Dec 15, 2014	17:30	17.00%	 	10.50%	
Dec 11, 2014 (Dec)	05:30	10.50%	10.25%	9.50%	
Oct 31, 2014 (Nov)	08:25	9.50%	8.50%	8.00%	
Sep 12, 2014 (Sep)	05:00	8.00%	8.00%	8.00%	
Jul 25, 2014	05:00	8.00%	7.50%	7.50%	
Jun 16, 2014	04:30	7.50%	7.50%	7.50%	
Apr 25, 2014	04:30	7.50%	7.00%	7.00%	
Mar 14, 2014	04:30	7.00%	7.00%	7.00%	
Mar 03, 2014	02:00	7.00%	 	5.50%	
Feb 14, 2014	04:30	5.50%	5.50%	5.50%	
Dec 13, 2013	04:30	5.50%	5.50%	5.50%	
Nov 08, 2013	05:00	5.50%	5.50%	5.50%	
Oct 14, 2013	05:00	5.50%	5.50%	8.25%	
Sep 13, 2013	05:00	8.25%	8.25%	8.25%	
Aug 09, 2013	03:30	8.25%	8.25%	8.25%	
Jul 12, 2013	03:30	8.25%	8.25%	8.25%	
Jun 10, 2013	03:30	8.25%	8.25%	8.25%	
May 15, 2013	03:30	8.25%	8.25%	8.25%	
Apr 02, 2013	03:30	8.25%	8.25%	8.25%	
Mar 15, 2013	08:00	8.25%	8.25%	8.25%	
Feb 12, 2013	03:00	8.25%	8.25%	8.25%	
Jan 15, 2013	03:00	8.25%	8.25%	8.25%	
Dec 10, 2012	08:00	8.25%	8.25%	8.25%	
Nov 09, 2012	08:00	8.25%	8.25%	8.25%	
