Release Date	Time	Actual	Forecast	Previous	
Dec 14, 2022	14:00	 	 	 	
Nov 02, 2022	13:00	4.00%	4.00%	3.25%	
Sep 21, 2022	13:00	3.25%	3.25%	2.50%	
Jul 27, 2022	13:00	2.50%	2.50%	1.75%	
Jun 15, 2022	13:00	1.75%	1.50%	1.00%	
May 04, 2022	13:00	1.00%	1.00%	0.50%	
Mar 16, 2022	13:00	0.50%	0.50%	0.25%	
Jan 26, 2022	14:00	0.25%	0.25%	0.25%	
Dec 15, 2021	14:00	0.25%	0.25%	0.25%	
Nov 03, 2021	13:00	0.25%	0.25%	0.25%	
Sep 22, 2021	13:00	0.25%	0.25%	0.25%	
Jul 28, 2021	13:00	0.25%	0.25%	0.25%	
Jun 16, 2021	13:00	0.25%	0.25%	0.25%	
Apr 28, 2021	13:00	0.25%	0.25%	0.25%	
Mar 17, 2021	13:00	0.25%	0.25%	0.25%	
Jan 27, 2021	14:00	0.25%	0.25%	0.25%	
Dec 16, 2020	14:00	0.25%	0.25%	0.25%	
Nov 05, 2020	14:00	0.25%	0.25%	0.25%	
Sep 16, 2020	13:00	0.25%	0.25%	0.25%	
Jul 29, 2020	13:00	0.25%	0.25%	0.25%	
Jun 10, 2020	13:00	0.25%	0.25%	0.25%	
Apr 29, 2020	13:00	0.25%	0.25%	0.25%	
Mar 15, 2020	16:00	0.25%	 	1.25%	
Mar 03, 2020	10:00	1.25%	 	1.75%	
Jan 29, 2020	14:00	1.75%	1.75%	1.75%	
Dec 11, 2019	14:00	1.75%	1.75%	1.75%	
Oct 30, 2019	13:00	1.75%	1.75%	2.00%	
Sep 18, 2019	13:00	2.00%	2.00%	2.25%	
Jul 31, 2019	13:00	2.25%	2.25%	2.50%	
Jun 19, 2019	13:00	2.50%	2.50%	2.50%	
May 01, 2019	13:00	2.50%	2.50%	2.50%	
Mar 20, 2019	13:00	2.50%	2.50%	2.50%	
Jan 30, 2019	14:00	2.50%	2.50%	2.50%	
Dec 19, 2018	14:00	2.50%	2.50%	2.25%	
Nov 08, 2018	14:00	2.25%	2.25%	2.25%	
Sep 26, 2018	13:00	2.25%	2.25%	2.00%	
Aug 01, 2018	13:00	2.00%	2.00%	2.00%	
Jun 13, 2018	13:00	2.00%	2.00%	1.75%	
May 02, 2018	13:00	1.75%	1.75%	1.75%	
Mar 21, 2018	13:00	1.75%	1.75%	1.50%	
